##########################################################################################
# SDO/AIA Filament Eruption Catalog
# Website: http://aia.cfa.harvard.edu/filament/
###
# Height-Time Kinematics Entry for ID No. 0407
# Entry URL: http://aia.cfa.harvard.edu/filament/index.html?search=0407
####
# Fit Parameters for h(t) = c0*exp[(t-t0)/tau] + c1(t-t0) + c2
# Note that t is in seconds relative to the start of observations, and h is in arcsec
# above the the limb along the (not necessarily radial) fit trajectory.
##
# tau = 2210.75 +/- 20.2788
# t0 = 21289.8 +/- 147.843
# c0 = 196.797 +/- 13.0026
# c1 = 0.00354633 +/- 0.000121791
# c2 = 152.757 +/- 1.494
####
# Fit Results:
# t_onset = 2012-03-11T22:57:09.768 +/- 423.305 (sec)
# h_onset = 108.04 +/- 4.1139 (Mm)
# dh_onset = 25.8337 +/- 4.1139 (Mm)
# dt_slowrise = 2.20212 +/- 0.117585 (hrs)
# v_slowrise = 2.62796 +/- 0.188609 (km/s)
# v_fovmax = 110.325 +/- 5.11091 (km/s)
# v_500arc = 114.392 +/- 5.18543 (km/s)
# a_onset = 1.15704 +/- 0.123297 (m/s^2)
# a_fovmax = 48.7542 +/- 4.62518 (m/s^2)
# a_500arc = 50.5935 +/- 54.6696 (m/s^2)
# n_onset = 0.896381 +/- 0.00829491 (none)
##########################################################################################
# Data Key:
# TIME = Time in UT
# HEIGHT = Measured height in arcsec along trajectory slice starting from an initial radial height of 0.015 rsun (14.486 arcsec)
# COORD = [x,y] coordinate for HEIGHT in arcsec
# FIT_H = Fitted height in arcsec given parameters listed above.
# FIT_COORD = [x,y] coordinate for FIT_H
# FIT_V = Fit velocity in arcsec per second
# FIT_A = Fit acceleration in arcsec per second^2
####
# Data Info:
# Observation Start = 2012-03-11T19:01:02.125
# km per arcsec = 721.045
# Data HEIGHT error (arcsec) = 4.13456
##########################################################################################
TIME	HEIGHT	COORD	FIT_H	FIT_COORD	FIT_V	FIT_A
2012-03-11T20:45:02.127	104.06	[-575.49335,-914.28979]	99.603	[-572.18420,-911.29803]	0.0036447	0.000000044511
2012-03-11T20:47:02.131	106.07	[-576.97784,-915.63190]	100.04	[-572.50885,-911.59155]	0.0036502	0.000000046994
2012-03-11T20:49:02.129	106.07	[-576.97784,-915.63190]	100.48	[-572.83405,-911.88556]	0.0036560	0.000000049615
2012-03-11T20:51:02.128	106.07	[-576.97784,-915.63190]	100.92	[-573.15973,-912.18005]	0.0036621	0.000000052382
2012-03-11T20:53:02.127	108.07	[-578.46234,-916.97400]	101.36	[-573.48602,-912.47504]	0.0036686	0.000000055304
2012-03-11T20:55:02.128	100.06	[-572.52441,-911.60559]	101.80	[-573.81287,-912.77051]	0.0036754	0.000000058389
2012-03-11T20:57:02.122	100.06	[-572.52441,-911.60559]	102.24	[-574.14032,-913.06653]	0.0036826	0.000000061646
2012-03-11T20:59:03.440	100.06	[-572.52441,-911.60559]	102.69	[-574.47211,-913.36652]	0.0036903	0.000000065123
2012-03-11T21:01:03.001	102.06	[-574.00885,-912.94763]	103.13	[-574.79974,-913.66272]	0.0036983	0.000000068742
2012-03-11T21:03:02.123	102.06	[-574.00885,-912.94763]	103.57	[-575.12689,-913.95856]	0.0037067	0.000000072548
2012-03-11T21:05:02.127	102.06	[-574.00885,-912.94763]	104.02	[-575.45728,-914.25720]	0.0037157	0.000000076595
2012-03-11T21:07:02.124	104.06	[-575.49335,-914.28979]	104.46	[-575.78839,-914.55652]	0.0037251	0.000000080867
2012-03-11T21:09:02.124	104.06	[-575.49335,-914.28979]	104.91	[-576.12042,-914.85675]	0.0037351	0.000000085378
2012-03-11T21:11:02.125	104.06	[-575.49335,-914.28979]	105.36	[-576.45337,-915.15771]	0.0037456	0.000000090140
2012-03-11T21:13:02.123	104.06	[-575.49335,-914.28979]	105.81	[-576.78729,-915.45966]	0.0037567	0.000000095168
2012-03-11T21:15:02.122	106.07	[-576.97784,-915.63190]	106.26	[-577.12219,-915.76245]	0.0037685	0.00000010048
