##########################################################################################
# SDO/AIA Filament Eruption Catalog
# Website: http://aia.cfa.harvard.edu/filament/
###
# Height-Time Kinematics Entry for ID No. 0649
# Entry URL: http://aia.cfa.harvard.edu/filament/index.html?search=0649
####
No fit for this entry.
##########################################################################################
# Data Key:
# TIME = Time in UT
# HEIGHT = Measured height in arcsec along trajectory slice starting from an initial radial height of 0.015 rsun (14.486 arcsec)
# COORD = [x,y] coordinate for HEIGHT in arcsec
####
# Data Info:
# Observation Start = 2013-03-16T00:40:31.120
# km per arcsec = 721.82958
##########################################################################################
TIME	HEIGHT	COORD
2013-03-16T04:27:31.120	28.778	[756.61,659.93]
2013-03-16T04:29:55.130	27.712	[756.26,658.92]
2013-03-16T04:31:55.120	29.844	[756.95,660.94]
2013-03-16T04:33:55.130	33.041	[757.98,663.97]
2013-03-16T04:35:55.130	36.239	[759.02,666.99]
2013-03-16T04:37:55.130	38.370	[759.71,669.01]
2013-03-16T04:39:55.130	36.239	[759.02,666.99]
2013-03-16T04:41:55.120	35.173	[758.67,665.98]
2013-03-16T04:43:55.130	28.778	[756.61,659.93]
2013-03-16T04:45:55.130	31.975	[757.64,662.96]
2013-03-16T04:47:55.130	31.975	[757.64,662.96]
2013-03-16T04:49:55.130	34.107	[758.33,664.97]
2013-03-16T04:51:55.140	66.082	[768.67,695.23]
2013-03-16T04:53:55.130	69.280	[769.70,698.26]
2013-03-16T04:55:55.130	68.214	[769.36,697.25]
2013-03-16T04:57:55.130	66.082	[768.67,695.23]
2013-03-16T04:59:55.130	62.885	[767.64,692.21]
2013-03-16T05:01:55.130	61.819	[767.29,691.20]
2013-03-16T05:03:55.130	61.819	[767.29,691.20]
2013-03-16T05:05:55.130	61.819	[767.29,691.20]
2013-03-16T05:07:55.130	59.687	[766.60,689.18]
2013-03-16T05:09:55.130	51.161	[763.84,681.11]
2013-03-16T05:11:55.130	59.687	[766.60,689.18]
2013-03-16T05:13:55.130	61.819	[767.29,691.20]
2013-03-16T05:15:55.130	60.753	[766.95,690.19]
2013-03-16T05:17:55.140	57.556	[765.91,687.16]
2013-03-16T05:19:55.140	54.358	[764.88,684.14]
2013-03-16T05:21:55.140	53.292	[764.53,683.13]
2013-03-16T05:23:55.140	53.292	[764.53,683.13]
2013-03-16T05:25:55.160	55.424	[765.22,685.15]
2013-03-16T05:27:55.130	57.556	[765.91,687.16]
2013-03-16T05:29:55.140	57.556	[765.91,687.16]
2013-03-16T05:31:55.140	55.424	[765.22,685.15]
2013-03-16T05:33:55.130	55.424	[765.22,685.15]
2013-03-16T05:35:55.140	55.424	[765.22,685.15]
2013-03-16T05:37:55.150	55.424	[765.22,685.15]
2013-03-16T05:39:55.130	53.292	[764.53,683.13]
2013-03-16T05:41:55.130	53.292	[764.53,683.13]
2013-03-16T05:43:55.130	53.292	[764.53,683.13]
2013-03-16T05:45:55.130	55.424	[765.22,685.15]
2013-03-16T05:47:55.130	55.424	[765.22,685.15]
2013-03-16T05:49:55.130	53.292	[764.53,683.13]
2013-03-16T05:51:55.130	52.226	[764.19,682.12]
2013-03-16T05:53:55.130	51.161	[763.84,681.11]
2013-03-16T05:55:55.130	50.095	[763.50,680.10]
2013-03-16T05:57:55.130	49.029	[763.15,679.09]
2013-03-16T05:59:55.130	49.029	[763.15,679.09]
2013-03-16T06:01:55.130	46.897	[762.47,677.08]
2013-03-16T06:03:55.130	46.897	[762.47,677.08]
2013-03-16T06:05:55.130	49.029	[763.15,679.09]
2013-03-16T06:07:55.130	49.029	[763.15,679.09]
2013-03-16T06:09:55.130	31.975	[757.64,662.96]
2013-03-16T06:11:55.130	71.412	[770.39,700.27]
2013-03-16T07:47:55.120	82.070	[773.84,710.36]
2013-03-16T07:49:55.140	89.531	[776.25,717.42]
2013-03-16T07:51:55.130	89.531	[776.25,717.42]
2013-03-16T07:53:55.120	89.531	[776.25,717.42]
2013-03-16T07:55:55.120	89.531	[776.25,717.42]
2013-03-16T07:57:55.120	91.663	[776.94,719.44]
2013-03-16T07:59:55.120	91.663	[776.94,719.44]
2013-03-16T08:01:55.120	91.663	[776.94,719.44]
2013-03-16T08:03:55.130	91.663	[776.94,719.44]
2013-03-16T08:05:55.120	91.663	[776.94,719.44]
2013-03-16T08:07:55.120	91.663	[776.94,719.44]
2013-03-16T08:09:55.120	91.663	[776.94,719.44]
2013-03-16T08:11:55.120	91.663	[776.94,719.44]
2013-03-16T08:13:55.130	93.794	[777.63,721.45]
2013-03-16T08:15:55.130	93.794	[777.63,721.45]
2013-03-16T08:17:55.130	92.728	[777.29,720.45]
2013-03-16T08:19:55.130	89.531	[776.25,717.42]
2013-03-16T08:21:55.130	85.268	[774.87,713.39]
2013-03-16T08:23:55.130	81.004	[773.49,709.35]
2013-03-16T08:25:55.130	89.531	[776.25,717.42]
2013-03-16T08:27:55.130	93.794	[777.63,721.46]
2013-03-16T08:29:55.130	95.926	[778.32,723.47]
2013-03-16T08:31:55.130	98.058	[779.01,725.49]
2013-03-16T08:33:55.130	98.058	[779.01,725.49]
2013-03-16T08:35:55.130	102.32	[780.39,729.52]
2013-03-16T08:42:19.130	105.52	[781.42,732.55]
2013-03-16T08:44:19.130	106.58	[781.77,733.56]
2013-03-16T08:46:19.120	103.39	[780.73,730.53]
2013-03-16T08:48:19.120	99.124	[779.35,726.50]
2013-03-16T08:50:19.120	93.794	[777.63,721.45]
2013-03-16T08:52:19.120	100.19	[779.70,727.51]
2013-03-16T08:54:19.120	100.19	[779.70,727.51]
2013-03-16T08:56:19.130	99.124	[779.35,726.50]
2013-03-16T08:58:19.120	112.98	[783.83,739.61]
2013-03-16T09:00:19.130	134.30	[790.73,759.78]
2013-03-16T09:02:19.120	133.23	[790.38,758.77]
2013-03-16T09:04:19.130	137.49	[791.76,762.81]
2013-03-16T09:06:19.120	139.63	[792.45,764.82]
2013-03-16T09:08:19.120	141.76	[793.14,766.84]
