##########################################################################################
# SDO/AIA Filament Eruption Catalog
# Website: http://aia.cfa.harvard.edu/filament/
###
# Height-Time Kinematics Entry for ID No. 0452
# Entry URL: http://aia.cfa.harvard.edu/filament/index.html?search=0452
####
No fit for this entry.
##########################################################################################
# Data Key:
# TIME = Time in UT
# HEIGHT = Measured height in arcsec along trajectory slice starting from an initial radial height of 0.015 rsun (14.389 arcsec)
# COORD = [x,y] coordinate for HEIGHT in arcsec
####
# Data Info:
# Observation Start = 2012-04-29T23:00:32.120
# km per arcsec = 731.0133
##########################################################################################
TIME	HEIGHT	COORD
2012-04-29T23:48:32.120	99.051	[-392.89520,985.83]
2012-04-29T23:52:32.120	98.348	[-392.45978,985.28]
2012-04-29T23:56:32.120	96.943	[-391.58890,984.17]
2012-04-30T00:00:32.120	87.109	[-385.49295,976.46]
2012-04-30T00:04:32.120	89.918	[-387.23462,978.66]
2012-04-30T00:08:32.120	92.026	[-388.54092,980.32]
2012-04-30T00:12:32.120	93.431	[-389.41180,981.42]
2012-04-30T00:16:32.120	96.943	[-391.58890,984.17]
2012-04-30T00:20:32.120	99.753	[-393.33063,986.38]
2012-04-30T00:24:32.120	104.67	[-396.37860,990.24]
2012-04-30T00:28:32.130	108.18	[-398.55573,992.99]
2012-04-30T00:32:32.120	110.99	[-400.29745,995.20]
2012-04-30T00:36:32.130	112.40	[-401.16830,996.30]
2012-04-30T00:40:32.130	109.59	[-399.42657,994.10]
2012-04-30T00:44:32.120	99.753	[-393.33063,986.38]
2012-04-30T00:48:32.130	101.16	[-394.20148,987.48]
2012-04-30T00:52:32.120	101.16	[-394.20148,987.48]
2012-04-30T00:56:32.140	101.86	[-394.63690,988.03]
2012-04-30T01:00:32.120	102.56	[-395.07230,988.58]
2012-04-30T01:04:32.120	101.16	[-394.20148,987.48]
2012-04-30T01:08:32.120	101.16	[-394.20148,987.48]
2012-04-30T01:12:32.120	99.051	[-392.89520,985.83]
2012-04-30T01:16:32.120	89.918	[-387.23462,978.66]
2012-04-30T01:20:32.120	90.621	[-387.67007,979.21]
2012-04-30T01:24:32.120	92.026	[-388.54092,980.32]
2012-04-30T01:28:32.120	93.431	[-389.41180,981.42]
2012-04-30T01:32:32.130	94.133	[-389.84720,981.97]
2012-04-30T01:36:32.120	94.133	[-389.84720,981.97]
2012-04-30T01:40:32.120	91.323	[-388.10550,979.76]
2012-04-30T01:44:32.120	93.431	[-389.41180,981.42]
2012-04-30T01:48:32.120	94.836	[-390.28262,982.52]
2012-04-30T01:52:32.120	96.943	[-391.58890,984.17]
2012-04-30T01:56:32.120	99.051	[-392.89520,985.83]
2012-04-30T02:00:32.120	101.16	[-394.20148,987.48]
2012-04-30T02:04:32.120	103.97	[-395.94318,989.69]
2012-04-30T02:08:32.120	112.40	[-401.16830,996.30]
2012-04-30T02:12:32.120	115.21	[-402.91003,998.51]
2012-04-30T02:16:32.140	110.99	[-400.29745,995.20]
2012-04-30T02:20:32.120	112.40	[-401.16830,996.30]
2012-04-30T02:24:32.120	110.99	[-400.29745,995.20]
2012-04-30T02:28:32.120	115.91	[-403.34546,999.06]
2012-04-30T02:32:32.130	118.02	[-404.65176,1000.7]
2012-04-30T02:36:32.120	119.42	[-405.52258,1001.8]
2012-04-30T02:40:32.120	122.94	[-407.69971,1004.6]
2012-04-30T02:44:32.120	127.85	[-410.74768,1008.4]
2012-04-30T02:48:32.120	129.96	[-412.05399,1010.1]
2012-04-30T02:52:32.120	132.77	[-413.79565,1012.3]
2012-04-30T02:56:32.130	136.28	[-415.97284,1015.0]
2012-04-30T03:01:56.130	139.80	[-418.14996,1017.8]
2012-04-30T03:05:56.120	142.61	[-419.89166,1020.0]
2012-04-30T03:09:56.120	144.01	[-420.76251,1021.1]
2012-04-30T03:13:56.120	145.42	[-421.63336,1022.2]
2012-04-30T03:17:56.120	146.12	[-422.06879,1022.8]
2012-04-30T03:21:56.120	108.18	[-398.55573,992.99]
2012-04-30T03:25:56.120	141.20	[-419.02084,1018.9]
2012-04-30T03:29:56.120	146.82	[-422.50424,1023.3]
2012-04-30T03:33:56.120	148.93	[-423.81052,1025.0]
2012-04-30T03:37:56.120	145.42	[-421.63336,1022.2]
2012-04-30T03:41:56.120	148.22	[-423.37506,1024.4]
2012-04-30T03:45:56.120	145.42	[-421.63336,1022.2]
2012-04-30T04:45:56.130	172.81	[-438.61502,1043.7]
2012-04-30T04:49:56.140	176.32	[-440.79214,1046.5]
2012-04-30T04:53:56.130	178.43	[-442.09848,1048.1]
2012-04-30T04:57:56.130	181.24	[-443.84015,1050.3]
2012-04-30T05:01:56.130	183.35	[-445.14642,1052.0]
2012-04-30T05:05:56.130	181.94	[-444.27557,1050.9]
2012-04-30T05:09:56.130	181.24	[-443.84015,1050.3]
2012-04-30T05:13:56.130	184.75	[-446.01727,1053.1]
2012-04-30T05:17:56.130	188.27	[-448.19440,1055.8]
2012-04-30T05:21:56.130	190.37	[-449.50070,1057.5]
2012-04-30T05:25:56.130	193.18	[-451.24240,1059.7]
2012-04-30T05:29:56.130	196.70	[-453.41949,1062.5]
2012-04-30T05:33:56.130	198.80	[-454.72583,1064.1]
2012-04-30T05:37:56.130	200.21	[-455.59668,1065.2]
2012-04-30T05:41:56.130	202.32	[-456.90295,1066.9]
2012-04-30T05:45:56.130	205.13	[-458.64465,1069.1]
2012-04-30T05:49:56.130	210.04	[-461.69263,1072.9]
2012-04-30T05:53:56.130	212.15	[-462.99896,1074.6]
2012-04-30T05:57:56.130	214.96	[-464.74063,1076.8]
2012-04-30T06:01:56.130	219.88	[-467.78864,1080.6]
2012-04-30T06:06:20.130	223.39	[-469.96576,1083.4]
2012-04-30T06:11:20.120	221.99	[-469.09491,1082.3]
2012-04-30T06:15:20.120	224.80	[-470.83664,1084.5]
2012-04-30T06:19:20.130	229.01	[-473.44916,1087.8]
2012-04-30T06:23:20.120	243.06	[-482.15771,1098.8]
2012-04-30T06:27:20.120	245.87	[-483.89941,1101.0]
2012-04-30T06:31:20.120	249.38	[-486.07654,1103.8]
2012-04-30T06:35:20.120	254.30	[-489.12451,1107.7]
2012-04-30T06:39:20.120	250.09	[-486.51196,1104.4]
2012-04-30T06:43:20.120	243.76	[-482.59314,1099.4]
2012-04-30T06:47:20.140	244.47	[-483.02853,1099.9]
2012-04-30T06:51:20.130	245.17	[-483.46399,1100.5]
2012-04-30T06:55:20.130	247.28	[-484.77026,1102.1]
2012-04-30T06:59:20.130	249.38	[-486.07654,1103.8]
2012-04-30T07:03:20.140	250.09	[-486.51196,1104.4]
2012-04-30T07:07:20.130	252.19	[-487.81824,1106.0]
2012-04-30T07:11:20.130	254.30	[-489.12454,1107.7]
2012-04-30T07:15:20.130	257.81	[-491.30167,1110.4]
2012-04-30T07:19:20.130	260.62	[-493.04340,1112.6]
2012-04-30T07:23:20.150	261.33	[-493.47882,1113.2]
2012-04-30T07:27:20.150	257.81	[-491.30167,1110.4]
2012-04-30T07:31:20.130	262.03	[-493.91422,1113.7]
2012-04-30T07:35:20.140	264.84	[-495.65594,1115.9]
2012-04-30T07:39:20.140	266.24	[-496.52679,1117.0]
2012-04-30T07:43:20.130	269.76	[-498.70392,1119.8]
2012-04-30T07:47:20.150	272.57	[-500.44568,1122.0]
2012-04-30T07:51:20.140	275.38	[-502.18738,1124.2]
2012-04-30T07:55:20.130	278.19	[-503.92908,1126.4]
2012-04-30T07:59:20.130	281.00	[-505.67078,1128.6]
2012-04-30T08:03:20.140	282.40	[-506.54163,1129.7]
2012-04-30T08:07:20.130	283.81	[-507.41248,1130.8]
2012-04-30T08:11:20.130	286.62	[-509.15417,1133.0]
2012-04-30T08:15:20.130	291.53	[-512.20215,1136.9]
2012-04-30T08:19:20.130	295.04	[-514.37927,1139.6]
2012-04-30T08:23:20.130	299.26	[-516.99188,1142.9]
2012-04-30T08:27:20.130	301.37	[-518.29816,1144.6]
2012-04-30T08:31:20.130	303.47	[-519.60443,1146.2]
2012-04-30T08:35:20.130	305.58	[-520.91071,1147.9]
2012-04-30T08:39:20.130	306.99	[-521.78156,1149.0]
2012-04-30T08:43:20.120	311.20	[-524.39410,1152.3]
2012-04-30T08:47:20.120	315.42	[-527.00671,1155.6]
2012-04-30T08:51:20.120	316.82	[-527.87756,1156.7]
2012-04-30T08:55:20.120	320.33	[-530.05469,1159.5]
2012-04-30T08:59:20.120	322.44	[-531.36096,1161.1]
2012-04-30T09:03:20.120	324.55	[-532.66724,1162.8]
2012-04-30T09:07:20.130	329.47	[-535.71521,1166.6]
2012-04-30T09:11:20.130	334.38	[-538.76318,1170.5]
2012-04-30T09:15:20.140	339.30	[-541.81116,1174.4]
2012-04-30T09:20:44.120	344.22	[-544.85919,1178.2]
2012-04-30T09:24:44.120	347.73	[-547.03632,1181.0]
2012-04-30T09:28:44.120	350.54	[-548.77802,1183.2]
2012-04-30T09:32:44.120	353.35	[-550.51978,1185.4]
2012-04-30T09:36:44.120	358.27	[-553.56775,1189.2]
2012-04-30T09:40:44.120	360.38	[-554.87402,1190.9]
2012-04-30T09:44:44.120	363.89	[-557.05115,1193.7]
2012-04-30T09:48:44.120	370.21	[-560.96997,1198.6]
2012-04-30T09:52:44.120	375.13	[-564.01794,1202.5]
2012-04-30T09:56:44.120	380.75	[-567.50140,1206.9]
2012-04-30T10:00:44.120	386.37	[-570.98480,1211.3]
2012-04-30T10:04:44.120	390.58	[-573.59735,1214.6]
2012-04-30T10:08:44.120	380.75	[-567.50140,1206.9]
