##########################################################################################
# SDO/AIA Filament Eruption Catalog
# Website: http://aia.cfa.harvard.edu/filament/
###
# Height-Time Kinematics Entry for ID No. 0313
# Entry URL: http://aia.cfa.harvard.edu/filament/index.html?search=0313
####
No fit for this entry.
##########################################################################################
# Data Key:
# TIME = Time in UT
# HEIGHT = Measured height in arcsec along trajectory slice starting from an initial radial height of 0.015 rsun (14.634 arcsec)
# COORD = [x,y] coordinate for HEIGHT in arcsec
####
# Data Info:
# Observation Start = 2011-11-04T15:02:32.120
# km per arcsec = 719.62245
##########################################################################################
TIME	HEIGHT	COORD
2011-11-04T15:11:32.130	83.636	[590.83,887.32]
2011-11-04T15:14:32.120	83.636	[590.83,887.32]
2011-11-04T15:17:32.130	85.309	[591.73,888.72]
2011-11-04T15:20:32.130	85.309	[591.73,888.72]
2011-11-04T15:23:32.130	85.309	[591.73,888.72]
2011-11-04T15:26:32.120	85.309	[591.73,888.72]
2011-11-04T15:29:32.130	85.309	[591.73,888.72]
2011-11-04T15:32:32.120	85.309	[591.73,888.72]
2011-11-04T15:35:32.140	85.309	[591.73,888.72]
2011-11-04T15:38:32.120	85.309	[591.73,888.72]
2011-11-04T15:41:32.130	85.309	[591.73,888.72]
2011-11-04T15:44:32.120	85.309	[591.73,888.72]
2011-11-04T15:47:32.130	84.473	[591.28,888.02]
2011-11-04T15:50:32.120	81.964	[589.93,885.91]
2011-11-04T15:53:32.130	77.782	[587.67,882.39]
2011-11-04T15:56:32.130	60.218	[578.19,867.60]
2011-11-04T15:59:32.130	61.891	[579.10,869.01]
2011-11-04T16:02:32.120	92.000	[595.34,894.36]
2011-11-04T16:05:32.130	92.000	[595.34,894.36]
2011-11-04T16:08:32.120	92.000	[595.34,894.36]
2011-11-04T16:11:32.130	92.000	[595.34,894.36]
2011-11-04T16:14:32.120	92.000	[595.34,894.36]
2011-11-04T16:17:32.130	93.673	[596.24,895.77]
2011-11-04T16:20:32.140	94.509	[596.69,896.47]
2011-11-04T16:23:32.130	96.182	[597.60,897.88]
2011-11-04T16:26:32.120	97.018	[598.05,898.58]
2011-11-04T16:29:32.130	98.691	[598.95,899.99]
2011-11-04T16:32:32.120	98.691	[598.95,899.99]
2011-11-04T16:35:32.130	98.691	[598.95,899.99]
2011-11-04T16:38:32.130	98.691	[598.95,899.99]
2011-11-04T16:41:32.130	100.36	[599.85,901.40]
2011-11-04T16:44:32.120	100.36	[599.85,901.40]
2011-11-04T16:47:32.130	100.36	[599.85,901.40]
2011-11-04T16:50:32.140	102.04	[600.76,902.81]
2011-11-04T16:53:32.130	102.04	[600.76,902.81]
2011-11-04T16:56:32.120	103.71	[601.66,904.22]
2011-11-04T16:59:32.130	103.71	[601.66,904.22]
2011-11-04T17:02:32.120	103.71	[601.66,904.22]
2011-11-04T17:05:32.120	103.71	[601.66,904.22]
2011-11-04T17:08:32.120	102.04	[600.76,902.81]
2011-11-04T17:11:32.120	102.04	[600.76,902.81]
2011-11-04T17:14:32.120	101.20	[600.31,902.10]
2011-11-04T17:17:32.120	99.527	[599.40,900.70]
2011-11-04T17:20:32.120	93.673	[596.24,895.77]
2011-11-04T17:23:32.120	90.327	[594.44,892.95]
2011-11-04T17:26:32.120	92.836	[595.79,895.06]
2011-11-04T17:29:32.120	93.673	[596.24,895.77]
2011-11-04T17:32:32.120	95.346	[597.15,897.17]
2011-11-04T17:35:32.120	95.346	[597.15,897.17]
2011-11-04T17:38:32.120	95.346	[597.15,897.17]
2011-11-04T17:41:32.120	95.346	[597.15,897.17]
2011-11-04T17:44:32.120	95.346	[597.15,897.17]
