##########################################################################################
# SDO/AIA Filament Eruption Catalog
# Website: http://aia.cfa.harvard.edu/filament/
###
# Height-Time Kinematics Entry for ID No. 0790
# Entry URL: http://aia.cfa.harvard.edu/filament/index.html?search=0790
####
No fit for this entry.
##########################################################################################
# Data Key:
# TIME = Time in UT
# HEIGHT = Measured height in arcsec along trajectory slice starting from an initial radial height of 0.015 rsun (14.181 arcsec)
# COORD = [x,y] coordinate for HEIGHT in arcsec
####
# Data Info:
# Observation Start = 2013-09-13T07:40:07.120
# km per arcsec = 730.04678
##########################################################################################
TIME	HEIGHT	COORD
2013-09-13T07:46:07.130	90.966	[-147.03548,-1049.15100]
2013-09-13T07:48:07.120	92.352	[-147.28729,-1050.51318]
2013-09-13T07:50:07.140	94.661	[-147.70697,-1052.78357]
2013-09-13T07:52:07.130	95.122	[-147.79091,-1053.23755]
2013-09-13T07:54:07.130	95.122	[-147.79091,-1053.23755]
2013-09-13T07:56:07.120	95.122	[-147.79091,-1053.23755]
2013-09-13T07:58:07.120	95.122	[-147.79091,-1053.23755]
2013-09-13T08:00:07.120	95.122	[-147.79091,-1053.23755]
2013-09-13T08:02:07.130	96.508	[-148.04272,-1054.59973]
2013-09-13T08:04:07.120	98.355	[-148.37846,-1056.41602]
2013-09-13T08:06:07.130	99.740	[-148.63028,-1057.77820]
2013-09-13T08:08:07.130	98.816	[-148.46240,-1056.87012]
2013-09-13T08:10:07.130	99.740	[-148.63028,-1057.77820]
2013-09-13T08:12:07.130	99.740	[-148.63028,-1057.77820]
2013-09-13T08:14:07.130	99.740	[-148.63028,-1057.77820]
2013-09-13T08:16:07.130	100.66	[-148.79814,-1058.68640]
2013-09-13T08:18:07.130	101.13	[-148.88208,-1059.14038]
2013-09-13T08:20:07.120	101.59	[-148.96602,-1059.59448]
2013-09-13T08:22:07.120	101.13	[-148.88208,-1059.14038]
2013-09-13T08:24:07.120	100.66	[-148.79814,-1058.68640]
2013-09-13T08:26:07.130	100.66	[-148.79814,-1058.68640]
2013-09-13T08:28:07.130	100.66	[-148.79814,-1058.68640]
2013-09-13T08:34:31.140	100.66	[-148.79814,-1058.68640]
2013-09-13T08:36:31.130	99.278	[-148.54634,-1057.32422]
2013-09-13T08:38:31.130	100.66	[-148.79814,-1058.68640]
2013-09-13T08:40:31.130	101.13	[-148.88208,-1059.14038]
2013-09-13T08:42:31.130	101.59	[-148.96602,-1059.59448]
2013-09-13T08:44:31.130	102.51	[-149.13390,-1060.50269]
2013-09-13T08:46:31.130	102.05	[-149.04996,-1060.04858]
2013-09-13T08:48:31.130	101.59	[-148.96602,-1059.59448]
2013-09-13T08:50:31.130	99.740	[-148.63028,-1057.77820]
2013-09-13T08:52:31.130	101.13	[-148.88208,-1059.14038]
2013-09-13T08:54:31.130	102.51	[-149.13390,-1060.50269]
2013-09-13T08:56:31.130	103.43	[-149.30176,-1061.41077]
2013-09-13T08:58:31.130	103.43	[-149.30176,-1061.41077]
2013-09-13T09:00:31.130	103.43	[-149.30176,-1061.41077]
2013-09-13T09:02:31.140	103.43	[-149.30176,-1061.41077]
2013-09-13T09:04:31.140	103.43	[-149.30176,-1061.41077]
2013-09-13T09:06:31.130	103.43	[-149.30176,-1061.41077]
2013-09-13T09:08:31.130	103.43	[-149.30176,-1061.41077]
2013-09-13T09:10:31.130	103.43	[-149.30176,-1061.41077]
2013-09-13T09:12:31.140	104.36	[-149.46964,-1062.31885]
2013-09-13T09:14:31.120	104.36	[-149.46964,-1062.31885]
2013-09-13T09:16:31.130	104.36	[-149.46964,-1062.31885]
2013-09-13T09:18:31.120	104.36	[-149.46964,-1062.31885]
2013-09-13T09:20:31.120	103.43	[-149.30176,-1061.41077]
2013-09-13T09:22:31.120	104.36	[-149.46964,-1062.31885]
2013-09-13T09:24:31.120	104.36	[-149.46964,-1062.31885]
2013-09-13T09:26:31.120	104.82	[-149.55357,-1062.77295]
2013-09-13T09:28:31.120	106.20	[-149.80539,-1064.13513]
2013-09-13T09:30:31.140	107.13	[-149.97325,-1065.04333]
2013-09-13T09:32:31.120	107.13	[-149.97325,-1065.04333]
2013-09-13T09:34:31.120	102.97	[-149.21783,-1060.95667]
2013-09-13T09:36:31.120	103.43	[-149.30176,-1061.41077]
2013-09-13T09:38:31.120	103.43	[-149.30176,-1061.41077]
2013-09-13T09:40:31.130	103.43	[-149.30176,-1061.41077]
2013-09-13T09:42:31.120	103.43	[-149.30176,-1061.41077]
2013-09-13T09:44:31.120	102.97	[-149.21783,-1060.95667]
2013-09-13T09:46:31.120	102.51	[-149.13390,-1060.50269]
2013-09-13T09:48:31.140	102.51	[-149.13390,-1060.50269]
2013-09-13T09:50:31.120	103.90	[-149.38570,-1061.86487]
2013-09-13T09:52:31.120	104.36	[-149.46964,-1062.31885]
2013-09-13T09:54:31.120	104.36	[-149.46964,-1062.31885]
2013-09-13T09:56:31.120	104.36	[-149.46964,-1062.31885]
2013-09-13T09:58:31.140	104.36	[-149.46964,-1062.31885]
2013-09-13T10:00:31.120	104.36	[-149.46964,-1062.31885]
2013-09-13T10:02:31.120	104.36	[-149.46964,-1062.31885]
2013-09-13T10:04:31.120	101.13	[-148.88208,-1059.14038]
2013-09-13T10:06:31.120	105.74	[-149.72145,-1063.68115]
2013-09-13T10:08:31.120	103.90	[-149.38570,-1061.86487]
2013-09-13T10:10:31.120	104.36	[-149.46964,-1062.31885]
2013-09-13T10:12:31.120	104.36	[-149.46964,-1062.31885]
2013-09-13T10:14:31.120	104.36	[-149.46964,-1062.31885]
2013-09-13T10:16:31.120	104.36	[-149.46964,-1062.31885]
2013-09-13T10:18:31.120	104.36	[-149.46964,-1062.31885]
2013-09-13T10:20:31.120	104.36	[-149.46964,-1062.31885]
2013-09-13T10:22:31.120	104.36	[-149.46964,-1062.31885]
2013-09-13T10:24:31.120	103.43	[-149.30176,-1061.41077]
2013-09-13T10:26:31.120	109.90	[-150.47687,-1067.76770]
2013-09-13T10:28:31.120	108.05	[-150.14113,-1065.95142]
2013-09-13T10:30:31.140	109.44	[-150.39294,-1067.31360]
2013-09-13T10:32:31.120	109.90	[-150.47687,-1067.76770]
2013-09-13T10:34:31.120	109.90	[-150.47687,-1067.76770]
2013-09-13T10:36:31.120	109.44	[-150.39294,-1067.31360]
2013-09-13T10:38:31.120	109.90	[-150.47687,-1067.76770]
2013-09-13T10:40:31.120	109.90	[-150.47687,-1067.76770]
2013-09-13T10:42:31.120	109.90	[-150.47687,-1067.76770]
2013-09-13T10:44:31.130	109.90	[-150.47687,-1067.76770]
2013-09-13T10:46:31.120	109.90	[-150.47687,-1067.76770]
2013-09-13T10:48:31.120	98.816	[-148.46240,-1056.87012]
2013-09-13T10:50:31.120	98.816	[-148.46240,-1056.87012]
2013-09-13T10:52:31.120	103.43	[-149.30176,-1061.41077]
2013-09-13T10:54:31.120	103.43	[-149.30176,-1061.41077]
2013-09-13T10:56:31.120	104.36	[-149.46964,-1062.31885]
2013-09-13T10:58:31.120	104.36	[-149.46964,-1062.31885]
2013-09-13T11:00:31.120	104.36	[-149.46964,-1062.31885]
2013-09-13T11:02:31.120	105.74	[-149.72145,-1063.68115]
2013-09-13T11:04:31.120	100.66	[-148.79814,-1058.68640]
2013-09-13T11:06:31.120	100.66	[-148.79814,-1058.68640]
2013-09-13T11:08:31.120	106.67	[-149.88931,-1064.58923]
2013-09-13T11:10:31.120	107.13	[-149.97325,-1065.04333]
2013-09-13T11:12:31.120	107.13	[-149.97325,-1065.04333]
2013-09-13T11:14:31.120	106.20	[-149.80539,-1064.13513]
2013-09-13T11:16:31.120	104.36	[-149.46964,-1062.31885]
2013-09-13T11:18:31.140	104.36	[-149.46964,-1062.31885]
2013-09-13T11:20:31.120	104.36	[-149.46964,-1062.31885]
2013-09-13T11:22:31.120	106.20	[-149.80539,-1064.13513]
2013-09-13T11:24:31.120	105.74	[-149.72145,-1063.68115]
2013-09-13T11:26:31.120	108.05	[-150.14113,-1065.95142]
2013-09-13T11:28:31.120	109.90	[-150.47687,-1067.76770]
2013-09-13T11:30:31.120	110.36	[-150.56081,-1068.22180]
2013-09-13T11:32:31.120	111.28	[-150.72868,-1069.12988]
2013-09-13T11:34:31.120	112.67	[-150.98050,-1070.49207]
2013-09-13T11:36:31.120	114.05	[-151.23230,-1071.85425]
2013-09-13T11:38:31.120	114.98	[-151.40018,-1072.76245]
2013-09-13T11:40:31.120	115.44	[-151.48412,-1073.21643]
2013-09-13T11:42:31.120	116.36	[-151.65198,-1074.12463]
2013-09-13T11:44:31.120	116.36	[-151.65198,-1074.12463]
2013-09-13T11:46:31.120	113.59	[-151.14836,-1071.40027]
2013-09-13T11:48:31.120	113.59	[-151.14836,-1071.40027]
2013-09-13T11:50:31.120	114.52	[-151.31624,-1072.30835]
2013-09-13T11:52:31.120	114.98	[-151.40018,-1072.76245]
2013-09-13T11:54:31.120	115.90	[-151.56805,-1073.67053]
2013-09-13T11:56:31.120	116.36	[-151.65198,-1074.12463]
2013-09-13T11:58:31.120	116.82	[-151.73592,-1074.57861]
2013-09-13T12:00:31.120	117.29	[-151.81985,-1075.03271]
2013-09-13T12:02:31.120	117.29	[-151.81985,-1075.03271]
2013-09-13T12:04:31.120	118.21	[-151.98773,-1075.94092]
2013-09-13T12:06:31.140	118.21	[-151.98773,-1075.94092]
2013-09-13T12:08:31.120	118.67	[-152.07167,-1076.39490]
2013-09-13T12:10:31.140	119.13	[-152.15561,-1076.84900]
2013-09-13T12:12:31.120	119.60	[-152.23953,-1077.30310]
2013-09-13T12:14:31.120	120.06	[-152.32347,-1077.75708]
2013-09-13T12:16:31.120	120.06	[-152.32347,-1077.75708]
2013-09-13T12:18:31.140	120.52	[-152.40741,-1078.21118]
2013-09-13T12:20:31.120	120.98	[-152.49135,-1078.66528]
2013-09-13T12:22:31.120	120.98	[-152.49135,-1078.66528]
2013-09-13T12:24:31.120	116.36	[-151.65198,-1074.12463]
2013-09-13T12:26:31.120	116.36	[-151.65198,-1074.12463]
2013-09-13T12:28:31.120	114.05	[-151.23230,-1071.85425]
2013-09-13T12:30:31.120	116.36	[-151.65198,-1074.12463]
2013-09-13T12:32:31.140	115.44	[-151.48412,-1073.21643]
2013-09-13T12:34:31.120	108.98	[-150.30901,-1066.85962]
2013-09-13T12:36:31.120	109.44	[-150.39294,-1067.31360]
2013-09-13T12:38:31.120	109.90	[-150.47687,-1067.76770]
2013-09-13T12:40:31.120	109.90	[-150.47687,-1067.76770]
2013-09-13T12:42:31.120	109.90	[-150.47687,-1067.76770]
2013-09-13T12:44:31.120	109.90	[-150.47687,-1067.76770]
2013-09-13T12:46:31.120	109.90	[-150.47687,-1067.76770]
2013-09-13T12:48:31.120	110.36	[-150.56081,-1068.22180]
2013-09-13T12:50:31.120	111.28	[-150.72868,-1069.12988]
2013-09-13T12:52:31.120	113.13	[-151.06442,-1070.94617]
2013-09-13T12:54:31.120	114.52	[-151.31624,-1072.30835]
2013-09-13T12:56:31.120	115.44	[-151.48412,-1073.21643]
2013-09-13T12:58:31.140	118.21	[-151.98773,-1075.94092]
2013-09-13T13:00:31.120	123.75	[-152.99496,-1081.38965]
2013-09-13T13:02:31.130	123.29	[-152.91103,-1080.93555]
2013-09-13T13:04:31.120	127.91	[-153.75040,-1085.47632]
2013-09-13T13:06:31.120	128.37	[-153.83434,-1085.93030]
2013-09-13T13:08:31.120	122.37	[-152.74316,-1080.02747]
2013-09-13T13:10:31.120	116.36	[-151.65198,-1074.12463]
2013-09-13T13:12:31.120	123.29	[-152.91103,-1080.93555]
2013-09-13T13:14:31.120	121.90	[-152.65923,-1079.57336]
2013-09-13T13:16:31.120	125.14	[-153.24678,-1082.75183]
2013-09-13T13:18:31.120	126.98	[-153.58252,-1084.56812]
2013-09-13T13:20:31.120	127.91	[-153.75040,-1085.47632]
2013-09-13T13:22:31.120	128.83	[-153.91827,-1086.38440]
2013-09-13T13:24:31.120	129.75	[-154.08615,-1087.29248]
2013-09-13T13:26:31.120	131.60	[-154.42189,-1089.10876]
2013-09-13T13:28:31.120	129.29	[-154.00221,-1086.83850]
2013-09-13T13:30:31.140	127.91	[-153.75040,-1085.47632]
2013-09-13T13:32:31.120	120.06	[-152.32347,-1077.75708]
2013-09-13T13:34:31.120	120.98	[-152.49135,-1078.66528]
2013-09-13T13:36:31.120	120.98	[-152.49135,-1078.66528]
2013-09-13T13:38:31.140	120.06	[-152.32347,-1077.75708]
2013-09-13T13:40:31.120	119.60	[-152.23953,-1077.30310]
2013-09-13T13:42:31.130	120.06	[-152.32347,-1077.75708]
2013-09-13T13:44:31.120	120.98	[-152.49135,-1078.66528]
2013-09-13T13:46:31.120	118.21	[-151.98773,-1075.94092]
2013-09-13T13:48:31.130	120.52	[-152.40741,-1078.21118]
2013-09-13T13:50:31.120	122.37	[-152.74316,-1080.02747]
2013-09-13T13:52:31.120	134.83	[-155.00945,-1092.28723]
2013-09-13T13:54:31.120	136.22	[-155.26126,-1093.64941]
2013-09-13T13:56:31.120	138.53	[-155.68094,-1095.91980]
2013-09-13T13:58:31.140	140.37	[-156.01668,-1097.73608]
2013-09-13T14:00:31.120	141.30	[-156.18456,-1098.64417]
2013-09-13T14:02:31.120	142.22	[-156.35243,-1099.55225]
2013-09-13T14:04:31.120	143.15	[-156.52029,-1100.46045]
2013-09-13T14:06:31.120	144.07	[-156.68817,-1101.36853]
2013-09-13T14:08:31.120	144.53	[-156.77211,-1101.82263]
2013-09-13T14:10:31.120	144.99	[-156.85605,-1102.27673]
2013-09-13T14:12:31.120	134.37	[-154.92551,-1091.83325]
2013-09-13T14:14:31.120	145.45	[-156.93999,-1102.73071]
2013-09-13T14:16:31.120	143.61	[-156.60423,-1100.91455]
2013-09-13T14:18:31.120	145.45	[-156.93999,-1102.73071]
