##########################################################################################
# SDO/AIA Filament Eruption Catalog
# Website: http://aia.cfa.harvard.edu/filament/
###
# Height-Time Kinematics Entry for ID No. 0727
# Entry URL: http://aia.cfa.harvard.edu/filament/index.html?search=0727
####
No fit for this entry.
##########################################################################################
# Data Key:
# TIME = Time in UT
# HEIGHT = Measured height in arcsec along trajectory slice starting from an initial radial height of 0.015 rsun (14.160 arcsec)
# COORD = [x,y] coordinate for HEIGHT in arcsec
####
# Data Info:
# Observation Start = 2013-06-13T10:00:31.120
# km per arcsec = 736.96183
##########################################################################################
TIME	HEIGHT	COORD
2013-06-13T10:38:31.120	26.188	[859.14,480.49]
2013-06-13T10:39:31.120	28.059	[860.48,481.79]
2013-06-13T10:40:31.120	28.059	[860.48,481.79]
2013-06-13T10:41:31.120	29.929	[861.83,483.09]
2013-06-13T10:42:31.120	29.929	[861.83,483.09]
2013-06-13T10:43:31.120	29.929	[861.83,483.09]
2013-06-13T10:44:31.120	29.929	[861.83,483.09]
2013-06-13T10:45:31.120	28.994	[861.15,482.44]
2013-06-13T10:46:31.120	29.929	[861.83,483.09]
2013-06-13T10:47:31.120	29.929	[861.83,483.09]
2013-06-13T10:48:31.120	29.929	[861.83,483.09]
2013-06-13T10:51:31.120	29.929	[861.83,483.09]
2013-06-13T10:52:31.120	31.800	[863.17,484.39]
2013-06-13T10:53:31.120	31.800	[863.17,484.39]
2013-06-13T10:54:31.120	31.800	[863.17,484.39]
2013-06-13T10:55:31.120	33.671	[864.52,485.69]
2013-06-13T10:56:31.120	33.671	[864.52,485.69]
2013-06-13T10:57:31.120	33.671	[864.52,485.69]
2013-06-13T10:58:31.120	33.671	[864.52,485.69]
2013-06-13T10:59:31.120	33.671	[864.52,485.69]
2013-06-13T11:00:31.120	33.671	[864.52,485.69]
2013-06-13T11:01:31.120	33.671	[864.52,485.69]
2013-06-13T11:02:31.120	33.671	[864.52,485.69]
2013-06-13T11:03:31.120	33.671	[864.52,485.69]
2013-06-13T11:04:31.120	33.671	[864.52,485.69]
2013-06-13T11:05:31.120	33.671	[864.52,485.69]
2013-06-13T11:06:31.120	33.671	[864.52,485.69]
2013-06-13T11:07:31.120	35.541	[865.86,486.99]
2013-06-13T11:08:31.120	35.541	[865.86,486.99]
2013-06-13T11:09:31.120	35.541	[865.86,486.99]
2013-06-13T11:10:31.120	35.541	[865.86,486.99]
2013-06-13T11:11:31.120	35.541	[865.86,486.99]
2013-06-13T11:12:31.120	35.541	[865.86,486.99]
2013-06-13T11:13:31.120	35.541	[865.86,486.99]
2013-06-13T11:14:31.120	37.412	[867.21,488.29]
2013-06-13T11:15:31.120	37.412	[867.21,488.29]
2013-06-13T11:16:31.120	37.412	[867.21,488.29]
2013-06-13T11:17:31.120	37.412	[867.21,488.29]
2013-06-13T11:18:31.120	37.412	[867.21,488.29]
2013-06-13T11:19:31.120	37.412	[867.21,488.29]
2013-06-13T11:20:31.120	37.412	[867.21,488.29]
2013-06-13T11:21:31.120	37.412	[867.21,488.29]
2013-06-13T11:22:31.120	37.412	[867.21,488.29]
2013-06-13T11:23:31.120	37.412	[867.21,488.29]
2013-06-13T11:24:31.120	37.412	[867.21,488.29]
2013-06-13T11:25:31.120	37.412	[867.21,488.29]
