##########################################################################################
# SDO/AIA Filament Eruption Catalog
# Website: http://aia.cfa.harvard.edu/filament/
###
# Height-Time Kinematics Entry for ID No. 0789
# Entry URL: http://aia.cfa.harvard.edu/filament/index.html?search=0789
####
# Fit Parameters for h(t) = c0*exp[(t-t0)/tau] + c1(t-t0) + c2
# Note that t is in seconds relative to the start of observations, and h is in arcsec
# above the the limb along the (not necessarily radial) fit trajectory.
##
# tau = 2125.79 +/- 11.721
# t0 = 33232.8 +/- 35.0332
# c0 = 335.408 +/- 5.63819
# c1 = 0.00270571 +/- 4.89921E-05
# c2 = 153.541 +/- 0.788314
####
# Fit Results:
# t_onset = 2013-09-11T06:50:20.603 +/- 404.608 (sec)
# h_onset = 109.728 +/- 3.39291 (Mm)
# dh_onset = 29.1002 +/- 3.39291 (Mm)
# dt_slowrise = 3.49708 +/- 0.112391 (hrs)
# v_slowrise = 1.98185 +/- 0.158602 (km/s)
# v_fovmax = 117.613 +/- 4.40585 (km/s)
# v_500arc = 120.973 +/- 3.56848 (km/s)
# a_onset = 0.929898 +/- 0.109079 (m/s^2)
# a_fovmax = 54.4001 +/- 4.05236 (m/s^2)
# a_500arc = 55.9805 +/- 59.1828 (m/s^2)
# n_onset = 0.889703 +/- 0.00914315 (none)
##########################################################################################
# Data Key:
# TIME = Time in UT
# HEIGHT = Measured height in arcsec along trajectory slice starting from an initial radial height of 0.015 rsun (14.298 arcsec)
# COORD = [x,y] coordinate for HEIGHT in arcsec
# FIT_H = Fitted height in arcsec given parameters listed above.
# FIT_COORD = [x,y] coordinate for FIT_H
# FIT_V = Fit velocity in arcsec per second
# FIT_A = Fit acceleration in arcsec per second^2
####
# Data Info:
# Observation Start = 2013-09-11T00:00:31.130
# km per arcsec = 730.509
# Data HEIGHT error (arcsec) = 2.17821
##########################################################################################
TIME	HEIGHT	COORD	FIT_H	FIT_COORD	FIT_V	FIT_A
2013-09-11T03:20:31.120	96.237	[-738.56061,-762.58136]	96.106	[-738.48932,-762.47180]	0.0027130	0.0000000034096
2013-09-11T03:22:31.120	96.237	[-738.56061,-762.58136]	96.432	[-738.66687,-762.74475]	0.0027134	0.0000000036076
2013-09-11T03:24:31.120	98.475	[-739.78052,-764.45764]	96.758	[-738.84436,-763.01782]	0.0027138	0.0000000038171
2013-09-11T03:26:31.120	98.475	[-739.78052,-764.45764]	97.083	[-739.02191,-763.29083]	0.0027143	0.0000000040388
2013-09-11T03:28:31.120	98.475	[-739.78052,-764.45764]	97.409	[-739.19952,-763.56390]	0.0027148	0.0000000042734
2013-09-11T03:30:31.120	98.475	[-739.78052,-764.45764]	97.735	[-739.37708,-763.83710]	0.0027153	0.0000000045215
2013-09-11T03:32:31.120	100.71	[-741.00061,-766.33398]	98.061	[-739.55469,-764.11029]	0.0027159	0.0000000047841
2013-09-11T03:34:31.120	100.71	[-741.00061,-766.33398]	98.387	[-739.73236,-764.38348]	0.0027165	0.0000000050619
2013-09-11T03:36:31.120	100.71	[-741.00061,-766.33398]	98.713	[-739.91003,-764.65686]	0.0027171	0.0000000053559
2013-09-11T03:38:31.120	100.71	[-741.00061,-766.33398]	99.039	[-740.08783,-764.93024]	0.0027178	0.0000000056669
2013-09-11T03:40:31.120	100.71	[-741.00061,-766.33398]	99.365	[-740.26569,-765.20367]	0.0027185	0.0000000059960
2013-09-11T03:42:31.120	100.71	[-741.00061,-766.33398]	99.691	[-740.44348,-765.47717]	0.0027192	0.0000000063442
2013-09-11T03:44:31.140	100.71	[-741.00061,-766.33398]	100.02	[-740.62140,-765.75085]	0.0027200	0.0000000067127
2013-09-11T03:46:31.120	100.71	[-741.00061,-766.33398]	100.34	[-740.79932,-766.02448]	0.0027208	0.0000000071025
2013-09-11T03:48:31.120	100.71	[-741.00061,-766.33398]	100.67	[-740.97736,-766.29822]	0.0027217	0.0000000075150
2013-09-11T03:50:31.120	100.71	[-741.00061,-766.33398]	101.00	[-741.15540,-766.57208]	0.0027226	0.0000000079514
2013-09-11T03:52:31.120	100.71	[-741.00061,-766.33398]	101.32	[-741.33356,-766.84607]	0.0027236	0.0000000084131
2013-09-11T03:54:31.120	102.95	[-742.22064,-768.21033]	101.65	[-741.51172,-767.12012]	0.0027246	0.0000000089017
2013-09-11T03:56:31.120	102.95	[-742.22064,-768.21033]	101.98	[-741.69006,-767.39423]	0.0027257	0.0000000094187
2013-09-11T03:58:31.130	102.95	[-742.22064,-768.21033]	102.31	[-741.86841,-767.66852]	0.0027269	0.0000000099657
2013-09-11T04:00:31.120	102.95	[-742.22064,-768.21033]	102.63	[-742.04675,-767.94293]	0.0027281	0.000000010544
2013-09-11T04:02:31.120	102.95	[-742.22064,-768.21033]	102.96	[-742.22528,-768.21741]	0.0027294	0.000000011157
2013-09-11T04:04:31.130	102.95	[-742.22064,-768.21033]	103.29	[-742.40393,-768.49213]	0.0027308	0.000000011805
2013-09-11T04:06:31.120	102.95	[-742.22064,-768.21033]	103.62	[-742.58252,-768.76697]	0.0027323	0.000000012490
