##########################################################################################
# SDO/AIA Filament Eruption Catalog
# Website: http://aia.cfa.harvard.edu/filament/
###
# Height-Time Kinematics Entry for ID No. 0576
# Entry URL: http://aia.cfa.harvard.edu/filament/index.html?search=0576
####
No fit for this entry.
##########################################################################################
# Data Key:
# TIME = Time in UT
# HEIGHT = Measured height in arcsec along trajectory slice starting from an initial radial height of 0.015 rsun (14.590 arcsec)
# COORD = [x,y] coordinate for HEIGHT in arcsec
####
# Data Info:
# Observation Start = 2012-11-20T23:06:31.120
# km per arcsec = 716.77197
##########################################################################################
TIME	HEIGHT	COORD
2012-11-21T07:29:43.120	55.527	[-61.93219,1038.1]
2012-11-21T07:33:43.130	55.527	[-61.93219,1038.1]
2012-11-21T07:37:43.120	55.527	[-61.93219,1038.1]
2012-11-21T07:41:43.120	59.865	[-63.32534,1042.2]
2012-11-21T07:45:43.120	59.865	[-63.32534,1042.2]
2012-11-21T07:49:43.120	58.997	[-63.04671,1041.4]
2012-11-21T07:53:43.120	58.130	[-62.76808,1040.6]
2012-11-21T07:57:43.120	58.997	[-63.04671,1041.4]
2012-11-21T08:01:43.120	59.431	[-63.18602,1041.8]
2012-11-21T08:05:43.120	59.865	[-63.32534,1042.2]
2012-11-21T08:09:43.120	59.865	[-63.32534,1042.2]
2012-11-21T08:13:43.120	59.865	[-63.32534,1042.2]
2012-11-21T08:17:43.120	59.865	[-63.32534,1042.2]
2012-11-21T08:21:43.120	53.358	[-61.23563,1036.0]
2012-11-21T08:25:43.120	58.997	[-63.04671,1041.4]
2012-11-21T08:29:43.120	50.321	[-60.26043,1033.2]
2012-11-21T08:33:43.120	51.189	[-60.53906,1034.0]
2012-11-21T08:37:43.120	53.358	[-61.23563,1036.0]
2012-11-21T08:41:43.120	55.527	[-61.93219,1038.1]
2012-11-21T08:45:43.120	57.696	[-62.62877,1040.1]
2012-11-21T08:49:43.120	59.865	[-63.32534,1042.2]
2012-11-21T08:53:43.120	61.166	[-63.74327,1043.4]
2012-11-21T08:57:43.120	62.034	[-64.02190,1044.2]
2012-11-21T09:01:43.140	62.468	[-64.16122,1044.7]
2012-11-21T09:05:43.120	62.468	[-64.16122,1044.7]
2012-11-21T09:09:43.130	63.335	[-64.43985,1045.5]
2012-11-21T09:13:43.120	65.070	[-64.99710,1047.1]
2012-11-21T09:17:43.120	66.806	[-65.55436,1048.8]
2012-11-21T09:21:43.120	68.541	[-66.11161,1050.4]
2012-11-21T09:25:43.140	70.276	[-66.66887,1052.1]
2012-11-21T09:29:43.120	71.577	[-67.08681,1053.3]
2012-11-21T09:33:43.130	72.879	[-67.50475,1054.5]
2012-11-21T09:37:43.120	74.614	[-68.06201,1056.2]
2012-11-21T09:42:43.130	77.217	[-68.89789,1058.6]
2012-11-21T09:47:07.120	78.952	[-69.45515,1060.3]
2012-11-21T09:51:07.120	72.879	[-67.50475,1054.5]
2012-11-21T09:55:07.130	75.482	[-68.34063,1057.0]
2012-11-21T09:59:07.130	77.651	[-69.03721,1059.0]
2012-11-21T10:03:07.130	78.952	[-69.45515,1060.3]
2012-11-21T10:07:07.130	75.482	[-68.34064,1057.0]
2012-11-21T10:11:07.130	53.358	[-61.23562,1036.0]
2012-11-21T10:15:07.120	73.313	[-67.64407,1054.9]
2012-11-21T10:19:07.120	75.915	[-68.47995,1057.4]
2012-11-21T10:23:07.120	78.084	[-69.17652,1059.4]
2012-11-21T10:27:07.120	78.952	[-69.45515,1060.3]
2012-11-21T10:31:07.120	57.696	[-62.62877,1040.1]
2012-11-21T10:35:07.120	59.431	[-63.18602,1041.8]
2012-11-21T10:39:07.120	61.600	[-63.88259,1043.8]
2012-11-21T10:43:07.130	62.901	[-64.30053,1045.1]
2012-11-21T10:47:07.120	63.769	[-64.57915,1045.9]
2012-11-21T10:51:07.120	64.637	[-64.85779,1046.7]
2012-11-21T10:55:07.120	48.152	[-59.56386,1031.1]
2012-11-21T10:59:07.120	59.865	[-63.32534,1042.2]
2012-11-21T11:03:07.130	64.203	[-64.71848,1046.3]
2012-11-21T11:07:07.120	65.938	[-65.27573,1047.9]
2012-11-21T11:11:07.130	68.541	[-66.11161,1050.4]
2012-11-21T11:15:07.140	69.842	[-66.52956,1051.6]
2012-11-21T11:19:07.130	70.276	[-66.66887,1052.1]
2012-11-21T11:23:07.130	70.710	[-66.80819,1052.5]
2012-11-21T11:27:07.130	71.577	[-67.08681,1053.3]
2012-11-21T11:31:07.130	72.445	[-67.36544,1054.1]
2012-11-21T11:35:07.130	72.879	[-67.50476,1054.5]
2012-11-21T11:39:07.120	73.313	[-67.64407,1054.9]
2012-11-21T11:43:07.120	73.746	[-67.78338,1055.3]
2012-11-21T11:47:07.120	74.614	[-68.06201,1056.2]
2012-11-21T11:51:07.120	76.349	[-68.61927,1057.8]
2012-11-21T11:55:07.120	74.180	[-67.92270,1055.8]
2012-11-21T12:00:31.120	75.482	[-68.34064,1057.0]
2012-11-21T12:04:31.120	70.710	[-66.80819,1052.5]
2012-11-21T12:08:31.120	72.445	[-67.36544,1054.1]
2012-11-21T12:12:31.120	73.313	[-67.64407,1054.9]
2012-11-21T12:16:31.120	74.614	[-68.06201,1056.2]
2012-11-21T12:20:31.120	75.915	[-68.47995,1057.4]
2012-11-21T12:24:31.130	80.687	[-70.01240,1061.9]
2012-11-21T12:28:31.120	81.989	[-70.43035,1063.1]
2012-11-21T12:32:31.120	82.856	[-70.70897,1064.0]
2012-11-21T12:36:31.120	83.724	[-70.98761,1064.8]
2012-11-21T12:40:31.130	84.158	[-71.12691,1065.2]
2012-11-21T12:44:31.120	101.94	[-76.83880,1082.0]
2012-11-21T12:48:31.120	105.41	[-77.95330,1085.3]
2012-11-21T12:52:31.120	108.88	[-79.06781,1088.6]
2012-11-21T12:56:31.120	110.19	[-79.48575,1089.8]
2012-11-21T13:00:31.130	110.19	[-79.48575,1089.8]
2012-11-21T13:04:31.130	111.05	[-79.76439,1090.7]
2012-11-21T13:08:31.130	95.003	[-74.60977,1075.5]
2012-11-21T13:12:31.130	98.473	[-75.72428,1078.8]
2012-11-21T13:16:31.130	102.38	[-76.97811,1082.5]
2012-11-21T13:20:31.150	111.05	[-79.76438,1090.7]
2012-11-21T13:24:31.130	95.870	[-74.88839,1076.3]
2012-11-21T13:28:31.130	111.05	[-79.76439,1090.7]
2012-11-21T13:32:31.130	115.39	[-81.15752,1094.8]
2012-11-21T13:36:31.120	108.45	[-78.92850,1088.2]
2012-11-21T13:40:31.120	111.05	[-79.76439,1090.7]
2012-11-21T13:44:31.120	111.92	[-80.04301,1091.5]
2012-11-21T13:48:31.140	113.66	[-80.60027,1093.1]
2012-11-21T13:52:31.130	115.39	[-81.15752,1094.8]
2012-11-21T13:56:31.140	117.13	[-81.71479,1096.4]
2012-11-21T14:00:31.120	118.43	[-82.13273,1097.7]
2012-11-21T14:04:31.120	119.30	[-82.41135,1098.5]
2012-11-21T14:08:31.120	120.16	[-82.68998,1099.3]
2012-11-21T14:12:31.120	120.60	[-82.82928,1099.7]
2012-11-21T14:16:31.150	121.46	[-83.10791,1100.5]
2012-11-21T14:20:31.150	121.90	[-83.24724,1100.9]
2012-11-21T14:24:31.120	113.22	[-80.46096,1092.7]
2012-11-21T14:28:31.120	117.13	[-81.71479,1096.4]
2012-11-21T14:32:31.130	118.43	[-82.13273,1097.7]
2012-11-21T14:36:31.120	121.03	[-82.96860,1100.1]
2012-11-21T14:40:31.130	123.63	[-83.80449,1102.6]
2012-11-21T14:44:31.150	124.50	[-84.08311,1103.4]
2012-11-21T14:48:31.150	124.94	[-84.22243,1103.8]
2012-11-21T14:52:31.120	125.80	[-84.50105,1104.6]
2012-11-21T14:56:31.120	127.10	[-84.91900,1105.9]
2012-11-21T15:00:31.120	127.97	[-85.19762,1106.7]
2012-11-21T15:04:31.120	128.84	[-85.47625,1107.5]
2012-11-21T15:08:31.120	129.71	[-85.75488,1108.3]
2012-11-21T15:12:31.120	130.57	[-86.03351,1109.2]
2012-11-21T15:19:19.120	132.74	[-86.73008,1111.2]
