##########################################################################################
# SDO/AIA Filament Eruption Catalog
# Website: http://aia.cfa.harvard.edu/filament/
###
# Height-Time Kinematics Entry for ID No. 0394
# Entry URL: http://aia.cfa.harvard.edu/filament/index.html?search=0394
####
No fit for this entry.
##########################################################################################
# Data Key:
# TIME = Time in UT
# HEIGHT = Measured height in arcsec along trajectory slice starting from an initial radial height of 0.015 rsun (14.309 arcsec)
# COORD = [x,y] coordinate for HEIGHT in arcsec
####
# Data Info:
# Observation Start = 2012-02-10T10:20:32.120
# km per arcsec = 716.0091
##########################################################################################
TIME	HEIGHT	COORD
2012-02-10T10:29:32.120	34.824	[866.87,541.00]
2012-02-10T10:30:32.120	35.581	[867.54,541.36]
2012-02-10T10:31:32.120	36.338	[868.21,541.71]
2012-02-10T10:32:32.120	36.338	[868.21,541.71]
2012-02-10T10:33:32.120	37.852	[869.55,542.42]
2012-02-10T10:34:32.120	37.852	[869.55,542.42]
2012-02-10T10:35:32.120	37.852	[869.55,542.42]
2012-02-10T10:36:32.120	38.609	[870.22,542.78]
2012-02-10T10:37:32.120	39.366	[870.88,543.13]
2012-02-10T10:38:32.120	40.880	[872.22,543.84]
2012-02-10T10:39:32.120	40.880	[872.22,543.84]
2012-02-10T10:40:32.120	40.880	[872.22,543.84]
2012-02-10T10:41:32.120	40.880	[872.22,543.84]
2012-02-10T10:42:32.120	40.880	[872.22,543.84]
2012-02-10T10:43:32.120	40.880	[872.22,543.84]
2012-02-10T10:44:32.120	40.880	[872.22,543.84]
2012-02-10T10:45:32.120	42.394	[873.56,544.55]
2012-02-10T10:46:32.130	42.394	[873.56,544.55]
2012-02-10T10:47:32.120	42.394	[873.56,544.55]
2012-02-10T10:48:32.120	43.908	[874.90,545.26]
2012-02-10T10:49:32.130	43.908	[874.90,545.26]
2012-02-10T10:50:32.120	43.908	[874.90,545.26]
2012-02-10T10:51:32.130	43.908	[874.90,545.26]
2012-02-10T10:52:32.120	43.908	[874.90,545.26]
2012-02-10T10:53:32.130	43.908	[874.90,545.26]
2012-02-10T10:54:32.120	45.422	[876.24,545.97]
2012-02-10T10:55:32.130	45.422	[876.24,545.97]
2012-02-10T10:56:32.130	45.422	[876.24,545.97]
2012-02-10T10:57:32.130	45.422	[876.24,545.97]
