##########################################################################################
# SDO/AIA Filament Eruption Catalog
# Website: http://aia.cfa.harvard.edu/filament/
###
# Height-Time Kinematics Entry for ID No. 0999
# Entry URL: http://aia.cfa.harvard.edu/filament/index.html?search=0999
####
No fit for this entry.
##########################################################################################
# Data Key:
# TIME = Time in UT
# HEIGHT = Measured height in arcsec along trajectory slice starting from an initial radial height of 0.015 rsun (14.464 arcsec)
# COORD = [x,y] coordinate for HEIGHT in arcsec
####
# Data Info:
# Observation Start = 2014-09-09T18:10:55.120
# km per arcsec = 730.79366
##########################################################################################
TIME	HEIGHT	COORD
2014-09-09T21:01:55.130	37.507	[978.39,228.87]
2014-09-09T21:03:55.120	37.507	[978.39,228.87]
2014-09-09T21:05:55.120	37.507	[978.39,228.87]
2014-09-09T21:07:55.120	38.494	[979.36,229.07]
2014-09-09T21:09:55.120	38.494	[979.36,229.07]
2014-09-09T21:11:55.120	38.494	[979.36,229.07]
2014-09-09T21:13:55.130	38.494	[979.36,229.07]
2014-09-09T21:15:55.120	39.481	[980.32,229.28]
2014-09-09T21:17:55.120	39.481	[980.32,229.28]
2014-09-09T21:19:55.120	39.974	[980.81,229.38]
2014-09-09T21:21:55.120	40.468	[981.29,229.48]
2014-09-09T21:23:55.120	40.468	[981.29,229.48]
2014-09-09T21:25:55.120	40.468	[981.29,229.48]
2014-09-09T21:27:55.120	40.468	[981.29,229.48]
2014-09-09T21:29:55.120	41.455	[982.26,229.69]
2014-09-09T21:31:55.120	40.468	[981.29,229.48]
2014-09-09T21:33:55.120	38.000	[978.88,228.97]
2014-09-09T21:35:55.120	41.455	[982.26,229.69]
2014-09-09T21:37:55.120	41.455	[982.26,229.69]
2014-09-09T21:39:55.120	44.416	[985.15,230.30]
2014-09-09T21:41:55.120	42.442	[983.22,229.89]
2014-09-09T21:43:55.120	42.442	[983.22,229.89]
2014-09-09T21:45:55.120	42.442	[983.22,229.89]
2014-09-09T21:47:55.120	42.442	[983.22,229.89]
2014-09-09T21:49:55.120	42.442	[983.22,229.89]
2014-09-09T21:51:55.120	42.442	[983.22,229.89]
2014-09-09T21:53:55.120	43.429	[984.19,230.10]
2014-09-09T21:55:55.120	43.429	[984.19,230.10]
2014-09-09T21:57:55.120	43.429	[984.19,230.10]
2014-09-09T21:59:55.120	43.922	[984.67,230.20]
2014-09-09T22:01:55.120	44.416	[985.15,230.30]
2014-09-09T22:03:55.120	44.416	[985.15,230.30]
2014-09-09T22:05:55.120	43.922	[984.67,230.20]
2014-09-09T22:07:55.120	35.039	[975.98,228.36]
2014-09-09T22:09:55.120	43.922	[984.67,230.20]
2014-09-09T22:11:55.120	44.909	[985.64,230.40]
2014-09-09T22:13:55.120	45.403	[986.12,230.51]
2014-09-09T22:15:55.120	45.403	[986.12,230.51]
2014-09-09T22:17:55.120	45.403	[986.12,230.51]
