##########################################################################################
# SDO/AIA Filament Eruption Catalog
# Website: http://aia.cfa.harvard.edu/filament/
###
# Height-Time Kinematics Entry for ID No. 0228
# Entry URL: http://aia.cfa.harvard.edu/filament/index.html?search=0228
####
No fit for this entry.
##########################################################################################
# Data Key:
# TIME = Time in UT
# HEIGHT = Measured height in arcsec along trajectory slice starting from an initial radial height of 0.015 rsun (14.479 arcsec)
# COORD = [x,y] coordinate for HEIGHT in arcsec
####
# Data Info:
# Observation Start = 2011-05-30T08:08:32.120
# km per arcsec = 735.55892
##########################################################################################
TIME	HEIGHT	COORD
2011-05-30T08:21:32.120	32.505	[-793.91101,596.62]
2011-05-30T08:22:32.140	32.505	[-793.91101,596.62]
2011-05-30T08:23:32.120	32.505	[-793.91101,596.62]
2011-05-30T08:24:32.120	32.505	[-793.91101,596.62]
2011-05-30T08:25:32.120	32.505	[-793.91101,596.62]
2011-05-30T08:26:32.120	34.216	[-795.06952,597.88]
2011-05-30T08:27:32.120	34.216	[-795.06952,597.88]
2011-05-30T08:28:32.120	34.216	[-795.06952,597.88]
2011-05-30T08:29:32.120	35.926	[-796.22797,599.14]
2011-05-30T08:30:32.120	35.926	[-796.22797,599.14]
2011-05-30T08:31:32.120	35.926	[-796.22797,599.14]
2011-05-30T08:32:32.120	35.926	[-796.22797,599.14]
2011-05-30T08:33:32.120	29.083	[-791.59412,594.10]
2011-05-30T08:34:32.120	31.649	[-793.33185,595.99]
2011-05-30T08:35:32.130	33.360	[-794.49030,597.25]
2011-05-30T08:36:32.120	34.216	[-795.06952,597.88]
2011-05-30T08:37:32.120	37.637	[-797.38647,600.39]
2011-05-30T08:38:32.120	37.637	[-797.38647,600.39]
2011-05-30T08:39:32.120	37.637	[-797.38647,600.39]
2011-05-30T08:40:32.130	37.637	[-797.38647,600.39]
2011-05-30T08:41:32.120	37.637	[-797.38647,600.39]
2011-05-30T08:42:32.120	39.348	[-798.54492,601.65]
2011-05-30T08:43:32.120	39.348	[-798.54492,601.65]
2011-05-30T08:44:32.120	39.348	[-798.54492,601.65]
2011-05-30T08:45:32.130	41.059	[-799.70343,602.91]
2011-05-30T08:46:32.120	41.059	[-799.70343,602.91]
2011-05-30T08:47:32.120	41.914	[-800.28259,603.54]
2011-05-30T08:48:32.120	42.769	[-800.86188,604.17]
2011-05-30T08:49:32.130	43.625	[-801.44110,604.80]
2011-05-30T08:50:32.120	44.480	[-802.02039,605.43]
2011-05-30T08:51:32.120	44.480	[-802.02039,605.43]
2011-05-30T08:52:32.120	46.191	[-803.17883,606.69]
2011-05-30T08:53:32.130	46.191	[-803.17883,606.69]
2011-05-30T08:54:32.120	46.191	[-803.17883,606.69]
2011-05-30T08:55:32.120	47.902	[-804.33728,607.95]
2011-05-30T08:56:32.120	47.902	[-804.33728,607.95]
2011-05-30T08:57:32.120	48.757	[-804.91656,608.58]
2011-05-30T08:58:32.120	49.613	[-805.49585,609.21]
2011-05-30T08:59:32.120	50.468	[-806.07501,609.84]
2011-05-30T09:00:32.120	51.323	[-806.65424,610.47]
2011-05-30T09:01:32.120	51.323	[-806.65424,610.47]
2011-05-30T09:02:32.120	53.889	[-808.39197,612.35]
2011-05-30T09:03:32.120	55.600	[-809.55035,613.61]
