##########################################################################################
# SDO/AIA Filament Eruption Catalog
# Website: http://aia.cfa.harvard.edu/filament/
###
# Height-Time Kinematics Entry for ID No. 0567
# Entry URL: http://aia.cfa.harvard.edu/filament/index.html?search=0567
####
No fit for this entry.
##########################################################################################
# Data Key:
# TIME = Time in UT
# HEIGHT = Measured height in arcsec along trajectory slice starting from an initial radial height of 0.015 rsun (14.638 arcsec)
# COORD = [x,y] coordinate for HEIGHT in arcsec
####
# Data Info:
# Observation Start = 2012-11-08T10:40:31.120
# km per arcsec = 718.82879
##########################################################################################
TIME	HEIGHT	COORD
2012-11-08T12:44:31.120	43.090	[-477.99426,-905.19989]
2012-11-08T12:45:31.120	43.090	[-477.99426,-905.19989]
2012-11-08T12:46:31.120	43.090	[-477.99426,-905.19989]
2012-11-08T12:47:31.120	43.090	[-477.99426,-905.19989]
2012-11-08T12:48:31.120	43.090	[-477.99426,-905.19989]
2012-11-08T12:49:31.120	43.090	[-477.99426,-905.19989]
2012-11-08T12:50:31.120	43.090	[-477.99426,-905.19989]
2012-11-08T12:51:31.120	44.964	[-479.40707,-906.43036]
2012-11-08T12:52:31.120	44.964	[-479.40707,-906.43036]
2012-11-08T12:53:31.120	44.964	[-479.40707,-906.43036]
2012-11-08T12:54:31.120	46.837	[-480.81985,-907.66077]
2012-11-08T12:55:31.120	46.837	[-480.81985,-907.66077]
2012-11-08T12:56:31.120	46.837	[-480.81985,-907.66077]
2012-11-08T12:57:31.120	48.711	[-482.23264,-908.89117]
2012-11-08T12:58:31.120	48.711	[-482.23264,-908.89117]
2012-11-08T12:59:31.120	48.711	[-482.23264,-908.89117]
2012-11-08T13:00:31.120	48.711	[-482.23264,-908.89117]
2012-11-08T13:01:31.120	48.711	[-482.23264,-908.89117]
2012-11-08T13:02:31.120	50.584	[-483.64542,-910.12164]
2012-11-08T13:03:31.120	50.584	[-483.64542,-910.12164]
2012-11-08T13:04:31.120	50.584	[-483.64542,-910.12164]
2012-11-08T13:05:31.120	49.647	[-482.93906,-909.50635]
2012-11-08T13:06:31.130	50.584	[-483.64542,-910.12164]
2012-11-08T13:07:31.120	37.470	[-473.75592,-901.50861]
