##########################################################################################
# SDO/AIA Filament Eruption Catalog
# Website: http://aia.cfa.harvard.edu/filament/
###
# Height-Time Kinematics Entry for ID No. 0354
# Entry URL: http://aia.cfa.harvard.edu/filament/index.html?search=0354
####
No fit for this entry.
##########################################################################################
# Data Key:
# TIME = Time in UT
# HEIGHT = Measured height in arcsec along trajectory slice starting from an initial radial height of 0.015 rsun (14.231 arcsec)
# COORD = [x,y] coordinate for HEIGHT in arcsec
####
# Data Info:
# Observation Start = 2011-12-24T10:00:32.120
# km per arcsec = 713.72379
##########################################################################################
TIME	HEIGHT	COORD
2011-12-24T11:14:32.140	17.184	[977.39,243.94]
2011-12-24T11:15:32.120	17.184	[977.39,243.94]
2011-12-24T11:16:32.120	18.089	[978.29,244.04]
2011-12-24T11:17:32.120	18.541	[978.73,244.08]
2011-12-24T11:18:32.130	19.445	[979.63,244.18]
2011-12-24T11:19:32.120	20.350	[980.53,244.28]
2011-12-24T11:22:32.120	20.802	[980.98,244.33]
2011-12-24T11:23:32.130	24.420	[984.58,244.71]
2011-12-24T11:24:32.120	25.776	[985.93,244.86]
2011-12-24T11:25:32.120	26.681	[986.83,244.96]
2011-12-24T11:26:32.120	28.942	[989.08,245.20]
2011-12-24T11:27:32.120	30.299	[990.42,245.34]
2011-12-24T11:28:32.120	32.108	[992.22,245.54]
2011-12-24T11:29:32.120	33.464	[993.57,245.68]
2011-12-24T11:30:32.120	33.464	[993.57,245.68]
2011-12-24T11:31:32.120	33.916	[994.02,245.73]
2011-12-24T11:32:32.120	34.369	[994.47,245.78]
2011-12-24T11:33:32.130	33.916	[994.02,245.73]
2011-12-24T11:34:32.120	33.012	[993.12,245.63]
2011-12-24T11:35:32.120	36.178	[996.27,245.97]
2011-12-24T11:36:32.120	31.203	[991.32,245.44]
2011-12-24T11:37:32.120	31.655	[991.77,245.49]
2011-12-24T11:38:32.120	33.464	[993.57,245.68]
2011-12-24T11:39:32.120	34.369	[994.47,245.78]
2011-12-24T11:40:32.120	45.674	[1005.7,246.99]
2011-12-24T11:41:32.120	37.534	[997.62,246.12]
2011-12-24T11:42:32.120	38.439	[998.52,246.21]
2011-12-24T11:43:32.120	39.343	[999.42,246.31]
2011-12-24T11:44:32.130	41.152	[1001.2,246.50]
2011-12-24T11:45:32.120	44.317	[1004.4,246.84]
2011-12-24T11:46:32.120	47.483	[1007.5,247.18]
2011-12-24T11:47:32.120	49.744	[1009.8,247.42]
2011-12-24T11:48:32.120	52.457	[1012.5,247.71]
2011-12-24T11:49:32.120	56.527	[1016.5,248.15]
2011-12-24T11:50:32.120	63.763	[1023.7,248.92]
2011-12-24T11:51:32.120	62.406	[1022.3,248.78]
2011-12-24T11:52:32.120	66.024	[1025.9,249.16]
2011-12-24T11:53:32.120	70.094	[1030.0,249.60]
2011-12-24T11:54:32.140	74.616	[1034.5,250.08]
2011-12-24T11:55:32.120	78.234	[1038.1,250.47]
2011-12-24T11:56:32.120	48.387	[1008.4,247.28]
2011-12-24T11:57:32.120	83.208	[1043.0,251.00]
2011-12-24T11:58:32.120	59.241	[1019.2,248.44]
2011-12-24T11:59:32.130	67.833	[1027.7,249.36]
2011-12-24T12:00:32.120	76.877	[1036.7,250.33]
2011-12-24T12:01:32.130	85.469	[1045.3,251.25]
2011-12-24T12:02:32.130	91.348	[1051.1,251.87]
2011-12-24T12:03:32.130	104.91	[1064.6,253.33]
2011-12-24T12:04:32.120	89.087	[1048.9,251.63]
2011-12-24T12:05:32.120	117.58	[1077.2,254.68]
2011-12-24T12:06:32.120	122.10	[1081.7,255.17]
2011-12-24T12:07:32.120	137.47	[1097.0,256.81]
2011-12-24T12:08:32.140	144.26	[1103.7,257.54]
2011-12-24T12:09:32.120	151.95	[1111.4,258.36]
2011-12-24T12:10:32.120	159.63	[1119.0,259.18]
2011-12-24T12:11:32.120	165.96	[1125.3,259.86]
2011-12-24T12:12:32.120	179.08	[1138.4,261.26]
2011-12-24T12:13:32.120	191.29	[1150.5,262.57]
2011-12-24T12:14:32.120	197.62	[1156.8,263.25]
2011-12-24T12:15:32.120	201.69	[1160.8,263.68]
2011-12-24T12:16:32.120	202.59	[1161.7,263.78]
2011-12-24T12:17:32.120	166.87	[1126.2,259.96]
2011-12-24T12:18:32.120	214.35	[1173.4,265.04]
2011-12-24T12:19:32.120	218.42	[1177.5,265.47]
2011-12-24T12:20:32.120	202.59	[1161.7,263.78]
2011-12-24T12:21:32.120	207.57	[1166.7,264.31]
2011-12-24T12:22:32.120	211.64	[1170.7,264.75]
2011-12-24T12:23:32.120	217.97	[1177.0,265.42]
2011-12-24T12:24:32.120	225.66	[1184.7,266.25]
2011-12-24T12:25:32.120	233.80	[1192.8,267.12]
